Star_name,Distance,Mass,Radius,Gravity
SDSS J000013.54+255418.6 [de],46.1,9.5472e+31,688743000.0,13424.170469859524
2MASS J00040288-6410358,192.0,3.7791e+31,1133991000.0,1960.1757065931872
2MASS J00242463-0158201,37.7,1.5713099999999999e+32,758313000.0,18225.97229335417
2MASS J00274197+0503417,236.0,6.165899999999999e+31,1001808000.0,4097.824172562099
2MASSW J0030300-145033,87.2,1.07406e+32,681786000.0,15411.972263846299
2MASS J00332386-1521309 [de],131.0,5.7681e+31,994851000.0,3887.2505465606537
2MASS J00345157+0523050,31.0,8.3538e+31,653958000.0,13028.97328295683
2MASS 0036+1821,28.6,8.3538e+31,653958000.0,13028.97328295683
2MASSW J0045214+163445,57.0,4.574699999999999e+31,1127034000.0,2402.229064918921
WISEP J004701.06+680352.1 [fr],40.0,2.3868e+31,904410000.0,1946.3061357262307
2MASS J00501994-3322402 [de],34.0,7.956e+31,653958000.0,12408.545983768408
2MASS J00584253-0651239 [de],96.0,5.7681e+31,994851000.0,3887.2505465606537
2MASSI J0103320+193536,70.0,1.0342799999999999e+32,681786000.0,14841.158476296436
SDSSp J010752.33+004156.1 [de],51.0,1.0342799999999999e+32,681786000.0,14841.158476296436
2MASSI J0117474-340325 [de],163.0,3.978e+31,1127034000.0,2088.894839059931
2MASS J01415823-4633574 [de],130.0,3.978e+31,1120077000.0,2114.924430241458
SDSS J015141.69+124429.6,70.0,9.3483e+31,674829000.0,13692.129553329658
SDSS J020742.48+000056.2 [de],111.0,9.3483e+31,674829000.0,13692.129553329658
2MASS J02103857-3015313,101.0,2.9835e+31,1064421000.0,1756.4063871680391
2MASS J02340093-6442068,155.0,3.978e+31,1127034000.0,2088.894839059931
2MASS J02411151-0326587 [de],152.0,5.3703e+31,980937000.0,3722.5637951305225
2MASS J02431371−2453298,35.0,6.5637e+31,688743000.0,9229.117198028423
LP 771-21,53.0,1.5514199999999999e+32,751356000.0,18330.052212750892
Teegarden's star,12.578,1.5912e+32,883539000.0,13595.624318008266
2MASS J02535980+3206373,184.0,1.29285e+32,1321830000.0,4935.4046401091055
WISE J0254+0223,24.0,1.29285e+32,1321830000.0,4935.4046401091055
DEN 0255-4700,16.2,1.5912e+32,674829000.0,23305.752431199417
2MASS J03185403-3421292 [de],45.0,9.7461e+31,674829000.0,14274.773364109646
2MASS J03205965+1854233,47.0,1.75032e+32,800054999.9999999,18239.108286402337
2MASS J03231002-4631237,192.0,4.574699999999999e+31,1154862000.0,2287.853809686898
SDSS J032553.17+042540.1,59.0,8.9505e+31,660915000.0,13667.274387994446
2MASS J03264225-2102057 [de],80.0,3.5801999999999996e+31,904410000.0,2919.459203589346
2MASS J03284265+2302051 [de],98.0,1.07406e+32,681786000.0,15411.972263846299
2MASS J03341218-4953322,27.0,1.4519699999999999e+32,723528000.0,18500.045300522765
LP 944-20,20.9,1.4519699999999999e+32,994851000.0,9785.14792754923
2MASP J0345432+254023,88.0,1.4718599999999999e+32,730485000.0,18397.962610273804
Teide 1,380.0,1.09395e+32,2629746000.0,1055.1050462598632
2MASS J03510004-0052452,48.0,2.0287799999999997e+32,883539000.0,17334.421005460536
2MASS J03552337+1133437,29.8,3.978e+31,918324000.0,3146.289953873326
